,encounter,elo
5def66f0cc9ede7610def354,2290,1377.734070538571
5e18912bb63f9560371a9773,2279,1389.0582291892201
5e147c27b63f95603716824d,2285,943.1407382415931
5c272788bcf3f64c76e963eb,1683,1032.4442596021677
5e0d9d0db63f9560370ef0d2,2281,1064.6242973717567
5c28d86bbcf3f64c76ea72c1,1637,1059.6764676701066
5e1ab54bb63f9560371cfce6,2271,1088.1903624356473
5e1dbf95b63f95603720b68f,2288,1130.810857234744
5e1d76ceb63f9560372059bc,2294,1073.653080231522
5df637ebcc9ede7610e56be8,2250,1030.376734608756
5df5e3d4cc9ede7610e51dcd,2312,1022.7790353973313
5c1cf7d2bcf3f64c76e159d7,1614,907.7791725182091
5e1445c3b63f95603716467f,1732,1109.9154436251358
5c41358134299b1d1ec9c75c,1772,1194.303305218719
5e0b05fcb63f9560370c285c,2282,1109.2192523167478
5dcbaeb3ab6c31598dcf2f9f,2279,1014.0996817102168
5e037861b63f95603704adda,2283,751.4517824618671
5df64bc5cc9ede7610e58274,2303,828.5845439645946
5e129d35b63f956037147b55,2274,649.1069761343853
5e0c618ab63f9560370d9868,2288,1042.1572147959266
5e0c815ab63f9560370db6e2,2288,1042.2127079857494
5e1dc9ccb63f95603720c143,2281,982.9440788115719
5ed0accea965b906061938a7,2273,1258.919537649458
5c36152934299b1d1ec1e609,1708,1005.4596200087097
5dfcd180cc9ede7610ebece2,2272,451.00978139596714
5c112ca9e0008d16c8492de8,1652,1039.6503397460947
5c07de27e0008d16c8436c8a,1686,1236.8590338358742
5dece202cc9ede7610dc9bb1,2277,474.46961140301516
5e02f352b63f956037042335,2286,1085.6618132877309
5c21c402bcf3f64c76e4fde9,1714,1079.179454631521
5e001ecccc9ede7610ef23ac,2299,678.8060573272987
5c43379834299b1d1ecb8031,1698,662.6807036974169
5e02fba1b63f956037042a69,2304,760.7792904438178
5e000d3dcc9ede7610ef1792,2274,1168.2063201714016
5bf8d57f3461b86936637f53,1616,1301.3919868439225
5c32c00b34299b1d1ebfb1a8,1708,1297.1985627385961
5e1aba34b63f9560371d0204,2305,1328.385889876068
5dffbdf4cc9ede7610eec0aa,2280,1144.41413117465
5e1ef950b63f956037222868,2259,935.3174034076892
5e1ad52db63f9560371d1cb7,2288,899.1965203531644
5e1dc019b63f95603720b75f,2268,1121.2185945111469
5c32fbca34299b1d1ebfd4e7,1664,1146.5543919112768
5c29dc5bbcf3f64c76eb182c,1640,463.10752606374643
5c1a572abcf3f64c76df90b9,1710,300.6705353398538
5e0acb3db63f9560370bf709,2282,1083.3375432019634
5e0496dab63f95603705ec67,2284,994.3651662775686
5972f29c85ffde2ccaac89fb,1643,999.6151764270622
5c1a0414bcf3f64c76df5bf3,1648,746.8550405370507
5df5d0b7cc9ede7610e50ab9,2314,746.2841373518512
5e107fbeb63f95603712150e,2268,972.5249292668198
5c20d066bcf3f64c76e439b6,1692,936.7880003835679
